"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 17 13:44:02 GMT 2024","Sun Nov 17 13:44:02 GMT 2024","86","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyAlbumsEndpoint","verifyAlbumsEndpoint()",""
"passed","Sun Nov 17 13:44:02 GMT 2024","Sun Nov 17 13:44:02 GMT 2024","99","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyPostsEndpoint","verifyPostsEndpoint()",""
"passed","Sun Nov 17 13:44:02 GMT 2024","Sun Nov 17 13:44:02 GMT 2024","93","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyTodosEndpoint","verifyTodosEndpoint()",""
"passed","Sun Nov 17 13:44:02 GMT 2024","Sun Nov 17 13:44:02 GMT 2024","95","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyCommentsEndpoint","verifyCommentsEndpoint()",""
"passed","Sun Nov 17 13:43:59 GMT 2024","Sun Nov 17 13:44:01 GMT 2024","2590","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyUsersEndpoint","verifyUsersEndpoint()",""
"passed","Sun Nov 17 13:44:02 GMT 2024","Sun Nov 17 13:44:02 GMT 2024","92","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyPhotosEndpoint","verifyPhotosEndpoint()",""
