"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 17 10:23:52 GMT 2024","Sun Nov 17 10:23:52 GMT 2024","112","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyPhotosEndpoint","verifyPhotosEndpoint()",""
"passed","Sun Nov 17 10:23:52 GMT 2024","Sun Nov 17 10:23:52 GMT 2024","85","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyCommentsEndpoint","verifyCommentsEndpoint()",""
"passed","Sun Nov 17 10:23:52 GMT 2024","Sun Nov 17 10:23:52 GMT 2024","99","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyPostsEndpoint","verifyPostsEndpoint()",""
"passed","Sun Nov 17 10:23:52 GMT 2024","Sun Nov 17 10:23:52 GMT 2024","113","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyAlbumsEndpoint","verifyAlbumsEndpoint()",""
"passed","Sun Nov 17 10:23:52 GMT 2024","Sun Nov 17 10:23:52 GMT 2024","104","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyTodosEndpoint","verifyTodosEndpoint()",""
"passed","Sun Nov 17 10:23:49 GMT 2024","Sun Nov 17 10:23:52 GMT 2024","2553","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyUsersEndpoint","verifyUsersEndpoint()",""
